Codigo,Nombre
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL
USA,Estados  Unidos  de  América
CHN,REPÚBLICA  POPULAR  DE  CHINA
DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA
IND,REPÚBLICA  DE  LA  INDIA
ECU,REPÚBLICA  DEL  ECUADOR
CAN,CANADÁ
ZAF,REPÚBLICA  DE  SUDÁFRICA
GBR,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE
ITA,REPÚBLICA  ITALIANA
AUS,AUSTRALIA
AGO,REPÚBLICA  DE  ANGOLA
SAU,REINO  DE  ARABIA  SAUDITA
BEL,Reino  de  Bélgica
BGR,REPÚBLICA  DE  BULGARIA
CZE,REPÚBLICA  CHECA
COL,REPÚBLICA  DE  COLOMBIA
DOM,REPÚBLICA  DOMINICANA
FRA,REPÚBLICA  FRANCESA
RUS,FEDERACIÓN  DE  RUSIA
HTI,REPÚBLICA  DE  HAITÍ
HND,REPÚBLICA  DE  HONDURAS
IRN,REPÚBLICA  ISLÁMICA  DE  IRÁN
IRL,IRLANDA
JPN,日本国  (JAPÓN)
KWT,ESTADO  DE  KUWAIT
LBN,REPÚBLICA  LIBANESA
MOZ,REPÚBLICA  DE  MOZAMBIQUE
PAK,REPÚBLICA  ISLÁMICA  DE  PAKISTÁN
NLD,REINO  DE  LOS  PAÍSES  BAJOS
SEN,REPÚBLICA  DE  SENEGAL
VAT,SANTA  SEDE
THA,REINO  DE  TAILANDIA
TTO,REPÚBLICA  DE  TRINIDAD  Y  TOBAGO
ESP,REINO  DE  ESPAÑA
PER,REPÚBLICA  DEL  PERÚ
ARG,REPÚBLICA  ARGENTINA
DZA,REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR
ARM,REPÚBLICA  DE  ARMENIA
AZE,REPÚBLICA  DE  AZERBAIYÁN
KOR,REPÚBLICA  DE  COREA
JAM,JAMAICA
LBY,ESTADO  DE  LIBIA
MAR,REINO  DE  MARRUECOS
NOR,REINO  DE  NORUEGA
QAT,ESTADO  DE  QATAR
CRI,REPÚBLICA  DE  COSTA  RICA
SLV,REPÚBLICA  DE  EL  SALVADOR
SGP,REPÚBLICA  DE  SINGAPUR
SWE,REINO  DE  SUECIA
HUN,HUNGRÍA
MEX,ESTADOS  UNIDOS  MEXICANOS
SYR,REPÚBLICA  ÁRABE  SIRIA
ARE,EMIRATOS  ÁRABES  UNIDOS
ETH,REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA
FIN,REPÚBLICA  DE  FINLANDIA
GRC,REPÚBLICA  HELÉNICA
GTM,REPÚBLICA  DE  GUATEMALA
GUY,REPÚBLICA  COOPERATIVA  DE  GUYANA
IDN,REPÚBLICA  DE  INDONESIA
KEN,REPÚBLICA  DE  KENYA
MYS,MALASIA
NIC,REPÚBLICA  DE  NICARAGUA
NGA,REPÚBLICA  FEDERAL  DE  NIGERIA
CHE,Confederación  Suiza
PAN,REPÚBLICA  DE  PANAMÁ
POL,REPÚBLICA  DE  POLONIA
SRB,REPÚBLICA  DE  SERBIA
SUR,REPÚBLICA  DE  SURINAME
AUT,REPÚBLICA  DE  AUSTRIA
UKR,UCRANIA
VNM,REPÚBLICA  SOCIALISTA  DE  VIETNAM
CHL,REPÚBLICA  DE  CHILE
PRY,REPÚBLICA  DEL  PARAGUAY
BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA
URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY
TUR,República  de  Türkiye
ISR,ESTADO  DE  ISRAEL
BGD,REPÚBLICA  POPULAR  DE  BANGLADESH
BRB,BARBADOS
CUB,REPÚBLICA  DE  CUBA
DNK,REINO  DE  DINAMARCA
EGY,REPÚBLICA  ÁRABE  DE  EGIPTO
PHL,REPÚBLICA  DE  FILIPINAS
LCA,SANTA  LUCÍA
NZL,NUEVA  ZELANDIA
PRT,REPÚBLICA  PORTUGUESA
ROU,RUMANIA
TUN,REPÚBLICA  TUNECINA
VEN,REPÚBLICA  BOLIVARIANA  DE  VENEZUELA
PSE,ESTADO  DE  PALESTINA
